Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
348,1.048323,0.171875,1.135628,0.109375,1.209194,0.109375
349,0.873621,0.343750,1.074567,0.265625,1.093410,0.203125
350,0.870710,0.406250,1.033059,0.218750,1.182032,0.187500
351,0.913635,0.343750,1.124392,0.140625,1.540376,0.125000
352,1.069382,0.312500,1.053438,0.296875,1.325728,0.125000
353,0.903805,0.375000,1.069909,0.203125,1.022278,0.171875
354,0.856687,0.265625,0.976302,0.328125,1.151196,0.109375
355,0.815734,0.406250,1.263529,0.093750,1.104103,0.171875
356,1.049251,0.234375,0.984103,0.328125,1.167406,0.203125
357,0.993054,0.281250,1.025196,0.218750,1.200671,0.109375
358,0.943486,0.187500,1.008458,0.234375,1.346160,0.046875
359,0.916709,0.203125,0.872863,0.328125,1.234403,0.171875
360,0.967026,0.265625,1.100315,0.125000,1.115084,0.093750
361,0.923134,0.187500,1.096807,0.156250,1.127723,0.125000
362,0.911842,0.281250,1.025841,0.203125,1.299867,0.093750
363,0.942400,0.265625,1.004367,0.203125,1.258137,0.062500
364,0.957608,0.343750,1.070184,0.203125,1.706231,0.046875
365,0.977166,0.312500,1.198269,0.093750,1.239090,0.078125
366,0.871666,0.312500,1.147561,0.171875,1.062836,0.140625
367,0.809514,0.437500,1.106655,0.171875,1.123196,0.125000
368,0.839736,0.453125,1.167687,0.062500,1.183680,0.078125
369,0.793124,0.390625,0.993068,0.265625,1.026901,0.265625
370,0.958739,0.328125,0.921541,0.359375,1.254952,0.171875
371,1.110155,0.296875,1.055499,0.171875,1.318889,0.203125
372,0.894785,0.515625,1.228644,0.109375,1.277591,0.109375
373,0.868830,0.359375,0.950790,0.171875,1.130011,0.062500
374,0.812151,0.406250,1.047315,0.250000,1.067212,0.187500
375,0.937467,0.328125,1.059134,0.203125,1.125067,0.125000
376,0.866522,0.328125,1.017447,0.156250,1.356976,0.093750
377,0.959307,0.265625,0.932431,0.296875,1.110892,0.187500
378,0.854914,0.328125,0.964637,0.187500,1.093033,0.187500
379,0.813940,0.390625,1.139509,0.156250,1.208330,0.156250
380,0.899088,0.343750,1.096183,0.171875,1.111773,0.156250
381,0.938905,0.250000,0.847239,0.406250,1.049197,0.156250
382,0.916194,0.343750,1.037334,0.296875,1.022538,0.171875
383,0.860323,0.375000,1.189283,0.265625,1.406447,0.234375
384,1.086172,0.296875,0.859128,0.390625,1.388661,0.125000
385,1.159976,0.359375,0.860763,0.359375,1.326035,0.046875
386,0.724190,0.562500,1.277886,0.031250,0.878575,0.390625
387,0.852721,0.328125,1.185150,0.062500,1.101204,0.203125
388,0.998311,0.390625,1.085300,0.281250,1.220602,0.171875
389,0.808949,0.500000,1.148510,0.234375,1.135735,0.203125
390,0.810958,0.421875,1.151655,0.156250,1.160391,0.078125
391,0.900671,0.234375,1.037056,0.218750,1.190177,0.140625
392,1.001234,0.187500,0.942904,0.218750,1.078662,0.140625
393,0.823706,0.406250,1.183207,0.078125,1.182272,0.078125
394,0.957217,0.171875,1.128582,0.156250,1.294983,0.078125
395,0.924799,0.328125,0.998239,0.218750,0.940094,0.140625
396,0.842823,0.359375,1.015652,0.203125,0.980241,0.250000
397,0.879008,0.218750,1.025105,0.218750,1.032922,0.156250
398,0.929073,0.281250,0.977631,0.296875,1.136902,0.171875
399,0.822280,0.375000,1.041546,0.171875,1.178693,0.156250
400,0.996841,0.296875,1.102356,0.203125,1.079306,0.156250
401,0.917842,0.312500,1.041995,0.125000,1.049272,0.140625
402,0.869552,0.265625,1.252646,0.062500,1.009700,0.125000
403,0.837219,0.343750,1.103857,0.125000,1.155178,0.125000
404,0.905131,0.281250,1.050251,0.140625,1.112810,0.062500
405,0.878032,0.265625,1.079966,0.203125,1.053997,0.093750
406,0.859849,0.312500,1.142449,0.062500,1.130888,0.093750
407,0.904551,0.296875,1.058050,0.250000,1.074370,0.171875
408,0.923258,0.265625,0.998951,0.281250,1.320571,0.078125
409,0.988815,0.359375,1.013862,0.187500,0.943169,0.187500
410,0.888386,0.234375,1.003575,0.218750,1.054425,0.203125
411,0.831234,0.390625,1.088895,0.171875,1.107378,0.125000
412,0.888203,0.312500,1.060875,0.218750,1.278942,0.109375
413,1.034726,0.250000,1.223547,0.171875,1.106242,0.093750
414,0.902549,0.281250,1.161980,0.140625,0.939156,0.296875
415,0.723532,0.500000,1.298381,0.046875,1.030551,0.156250
416,0.947548,0.234375,1.199595,0.109375,1.065473,0.187500
