Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
318,0.749100,0.421875,0.930512,0.390625,1.274675,0.078125
319,0.786541,0.406250,1.064020,0.328125,1.345374,0.046875
320,0.858336,0.312500,1.151873,0.125000,1.962218,0.031250
321,0.984273,0.453125,0.978661,0.328125,1.717228,0.031250
322,0.824582,0.562500,1.011292,0.265625,1.592771,0.062500
323,0.788622,0.500000,0.983925,0.156250,1.335056,0.031250
324,0.798145,0.562500,0.996141,0.328125,1.338660,0.046875
325,0.845146,0.468750,0.953449,0.281250,1.263892,0.109375
326,0.689025,0.546875,0.925405,0.296875,1.324700,0.062500
327,0.861034,0.359375,0.980692,0.218750,1.530639,0.046875
328,0.923651,0.296875,0.928093,0.343750,1.606668,0.046875
329,0.998016,0.281250,1.084361,0.187500,1.411703,0.062500
330,0.769935,0.437500,1.065781,0.187500,1.368088,0.046875
331,0.845623,0.359375,0.967339,0.296875,1.170556,0.171875
332,0.913288,0.328125,1.072582,0.203125,1.132813,0.234375
333,1.000975,0.343750,0.997425,0.281250,1.545984,0.250000
334,0.938918,0.515625,1.238142,0.125000,1.336734,0.031250
335,0.880716,0.359375,1.135502,0.218750,1.112867,0.140625
336,0.896956,0.343750,1.131640,0.203125,1.137383,0.125000
337,0.886087,0.343750,0.993961,0.265625,1.389726,0.109375
338,0.901617,0.390625,1.219610,0.046875,1.458831,0.234375
339,0.955224,0.312500,1.082649,0.171875,1.347305,0.078125
340,0.739741,0.500000,0.971262,0.281250,1.397991,0.046875
341,0.850113,0.375000,1.036125,0.218750,1.252082,0.046875
342,0.865354,0.343750,1.000873,0.281250,1.306487,0.125000
343,0.805494,0.421875,1.052815,0.125000,1.491398,0.015625
344,0.914660,0.343750,1.015432,0.312500,1.510424,0.078125
345,0.900533,0.500000,1.103756,0.125000,1.379238,0.015625
346,0.931746,0.328125,0.952210,0.234375,1.432622,0.062500
347,0.979096,0.296875,0.974489,0.281250,1.190189,0.125000
348,0.895076,0.281250,0.931477,0.281250,1.274233,0.156250
349,0.842239,0.453125,1.092334,0.265625,1.095530,0.156250
350,0.927663,0.406250,1.172926,0.171875,1.154699,0.125000
351,0.859933,0.421875,0.919098,0.265625,1.060511,0.078125
352,0.914689,0.281250,0.920986,0.312500,1.128745,0.156250
353,0.858848,0.421875,1.104931,0.218750,1.330530,0.250000
354,1.032513,0.281250,1.223424,0.078125,1.503687,0.015625
355,1.010218,0.218750,1.157858,0.125000,1.273451,0.062500
356,0.911314,0.296875,1.058171,0.296875,1.510872,0.015625
357,0.935752,0.296875,0.960081,0.250000,1.283045,0.031250
358,0.861495,0.265625,0.960660,0.203125,1.164245,0.171875
359,0.823296,0.390625,1.026344,0.203125,1.059759,0.093750
360,0.886829,0.281250,1.003643,0.203125,1.105893,0.093750
361,0.789336,0.453125,1.192871,0.171875,1.279342,0.093750
362,0.996879,0.281250,1.017164,0.234375,1.272825,0.093750
363,0.870852,0.437500,0.817166,0.406250,1.076862,0.140625
364,0.823119,0.390625,0.927820,0.343750,1.056854,0.187500
365,0.872552,0.375000,1.056451,0.218750,1.006887,0.140625
366,0.851948,0.281250,1.059469,0.250000,1.080424,0.218750
367,0.855539,0.390625,1.024107,0.156250,1.351114,0.171875
368,0.863148,0.312500,1.048123,0.265625,2.054682,0.000000
369,1.043860,0.312500,1.250057,0.125000,1.647369,0.093750
370,1.123444,0.406250,0.919306,0.265625,1.736857,0.046875
371,0.992324,0.328125,0.942439,0.218750,1.071857,0.109375
372,0.829592,0.390625,1.083244,0.125000,1.055772,0.125000
373,0.725438,0.484375,1.094302,0.140625,1.064815,0.156250
374,0.815322,0.421875,1.040141,0.234375,1.088066,0.109375
375,0.864750,0.343750,1.122160,0.140625,0.992386,0.218750
376,0.779299,0.437500,1.051075,0.218750,1.138442,0.093750
377,0.907996,0.250000,1.121365,0.171875,1.156140,0.140625
378,0.896519,0.359375,0.929805,0.250000,1.035580,0.203125
379,0.837423,0.312500,0.954834,0.265625,1.098155,0.125000
380,0.869852,0.375000,1.003854,0.265625,1.091901,0.125000
381,0.931692,0.203125,0.979310,0.281250,1.183970,0.281250
382,0.836486,0.328125,1.069082,0.140625,1.249776,0.109375
383,0.909949,0.250000,1.019599,0.296875,1.215161,0.187500
384,0.968550,0.250000,0.912020,0.265625,1.214529,0.078125
385,0.965445,0.250000,1.023928,0.171875,1.234799,0.109375
386,0.816782,0.375000,1.113121,0.125000,1.162556,0.140625
387,0.936398,0.187500,0.774275,0.468750,1.214992,0.140625
388,0.975961,0.375000,0.882183,0.312500,1.212729,0.031250
389,0.820740,0.375000,1.005003,0.156250,1.064809,0.156250
390,0.880941,0.390625,0.958735,0.281250,1.097961,0.171875
391,0.856532,0.375000,0.936011,0.265625,1.149378,0.093750
392,0.872012,0.406250,0.922165,0.250000,1.166153,0.093750
393,0.869309,0.312500,1.128679,0.171875,1.139428,0.109375
394,0.941137,0.312500,1.103229,0.109375,1.258588,0.109375
395,0.847663,0.375000,1.067090,0.156250,1.291293,0.062500
396,0.839877,0.359375,1.105703,0.078125,1.070900,0.171875
397,0.970158,0.234375,1.067570,0.218750,1.055712,0.171875
398,0.849874,0.296875,1.052274,0.218750,1.335593,0.156250
399,0.845340,0.265625,1.128176,0.171875,1.245954,0.093750
400,0.972584,0.250000,0.921152,0.281250,1.262419,0.062500
401,0.780915,0.453125,1.045036,0.187500,1.127659,0.093750
402,0.899464,0.312500,0.942572,0.265625,1.162115,0.093750
403,0.855856,0.281250,1.108013,0.250000,1.055488,0.171875
404,0.881654,0.234375,1.084567,0.156250,1.228337,0.046875
405,0.877587,0.281250,0.986388,0.250000,1.061518,0.109375
406,0.797709,0.359375,0.928890,0.203125,1.051931,0.125000
407,0.803398,0.375000,0.977565,0.250000,1.050577,0.156250
408,0.799136,0.375000,0.941771,0.265625,1.078472,0.250000
409,0.959047,0.390625,0.955174,0.203125,1.111318,0.250000
410,0.931990,0.265625,1.023782,0.187500,1.270113,0.140625
411,0.865744,0.437500,1.186777,0.109375,1.377895,0.078125
412,0.931555,0.250000,1.015958,0.203125,1.168462,0.140625
413,0.867236,0.375000,1.034144,0.234375,1.162976,0.062500
414,0.813061,0.406250,1.069610,0.203125,1.084586,0.093750
415,0.819380,0.375000,0.945730,0.250000,1.003607,0.140625
416,0.807007,0.375000,0.863347,0.234375,1.175009,0.187500
417,0.884061,0.328125,1.168104,0.171875,1.366635,0.015625
418,0.907636,0.281250,1.065878,0.156250,1.350150,0.078125
419,1.110082,0.187500,0.951999,0.171875,1.492812,0.078125
420,1.160118,0.281250,1.028522,0.218750,0.971203,0.171875
421,0.743602,0.531250,0.952368,0.234375,1.044979,0.125000
422,0.758257,0.515625,1.052062,0.015625,0.953650,0.203125
423,0.800218,0.453125,1.088413,0.078125,0.942473,0.250000
424,0.748922,0.437500,0.922364,0.281250,0.953419,0.171875
425,0.767047,0.421875,1.050392,0.125000,0.938112,0.187500
426,0.795118,0.343750,0.970498,0.187500,1.082449,0.109375
427,0.908048,0.328125,0.989770,0.250000,0.950699,0.312500
428,0.957971,0.250000,0.943785,0.234375,1.003213,0.250000
429,0.841801,0.312500,1.066182,0.109375,1.094930,0.156250
430,0.960069,0.234375,1.043296,0.171875,1.139729,0.109375
431,0.940626,0.312500,0.951353,0.343750,1.065520,0.140625
