Step,DiscLoss,DiscAcc,GANLoss,GANAcc
325,0.755077,0.476562,0.911391,0.234375
326,0.755918,0.476562,1.009139,0.093750
327,0.712817,0.492188,0.829628,0.312500
328,0.673138,0.570312,0.997734,0.125000
329,0.741648,0.492188,0.765458,0.453125
330,0.733510,0.531250,1.272745,0.000000
331,0.706309,0.531250,0.590108,0.765625
332,0.792443,0.460938,1.337380,0.015625
333,0.798607,0.523438,0.851708,0.328125
334,0.764382,0.468750,1.221632,0.031250
335,0.773704,0.484375,0.908561,0.234375
336,0.803569,0.406250,1.173573,0.062500
337,0.695149,0.539062,0.869191,0.250000
338,0.742380,0.515625,0.991822,0.156250
339,0.797570,0.406250,1.072360,0.125000
340,0.780291,0.429688,1.054156,0.187500
341,0.782007,0.445312,1.042361,0.093750
342,0.802702,0.375000,1.624015,0.000000
343,0.793817,0.468750,0.908524,0.359375
344,0.799101,0.437500,1.454991,0.015625
345,0.792598,0.468750,0.643329,0.687500
346,0.739393,0.500000,1.396653,0.000000
347,0.764389,0.500000,0.595282,0.734375
348,0.817212,0.507812,1.192744,0.015625
349,0.741991,0.507812,0.769396,0.375000
350,0.757587,0.468750,1.033871,0.078125
351,0.751788,0.437500,0.838997,0.250000
352,0.776053,0.421875,1.255085,0.078125
353,0.927444,0.296875,1.233439,0.062500
354,0.895776,0.398438,0.891075,0.406250
355,0.791183,0.468750,1.034488,0.171875
356,0.751823,0.468750,0.800274,0.359375
357,0.748082,0.453125,1.119085,0.093750
358,0.775242,0.445312,0.889088,0.218750
359,0.739640,0.484375,0.945781,0.218750
360,0.778467,0.382812,0.944987,0.125000
361,0.744374,0.445312,0.809856,0.406250
362,0.857510,0.296875,1.483775,0.031250
363,0.916665,0.328125,0.850925,0.328125
364,0.752497,0.484375,1.168690,0.031250
365,0.855963,0.343750,1.193921,0.046875
366,0.715191,0.554688,0.783879,0.406250
367,0.783258,0.398438,0.971095,0.140625
368,0.740147,0.460938,0.861119,0.328125
369,0.760114,0.421875,1.030679,0.093750
370,0.764400,0.437500,0.764327,0.359375
371,0.779695,0.437500,1.011330,0.187500
372,0.755515,0.453125,0.859782,0.359375
373,0.740142,0.515625,1.324527,0.000000
374,0.752312,0.476562,0.528123,0.843750
375,0.839497,0.476562,1.310643,0.000000
376,0.803219,0.437500,0.689907,0.515625
377,0.797060,0.468750,1.385946,0.015625
378,0.840761,0.406250,0.831421,0.328125
379,0.803490,0.476562,1.274813,0.015625
380,0.893730,0.226562,1.221144,0.093750
381,0.719380,0.492188,1.218892,0.078125
382,0.874007,0.429688,0.864398,0.406250
383,0.834421,0.406250,1.231723,0.015625
384,0.820807,0.390625,0.746766,0.515625
385,0.773682,0.437500,1.013422,0.109375
386,0.698443,0.531250,0.870790,0.312500
387,0.742957,0.437500,0.860599,0.218750
388,0.693537,0.546875,0.911593,0.218750
389,0.731627,0.539062,0.811902,0.312500
390,0.739443,0.421875,1.017723,0.125000
391,0.750334,0.484375,0.710633,0.562500
392,0.771391,0.398438,1.143543,0.062500
393,0.782528,0.468750,0.627444,0.656250
394,0.792233,0.460938,1.411186,0.062500
395,0.932480,0.328125,0.985281,0.203125
396,0.746669,0.476562,1.275822,0.062500
397,1.025290,0.234375,1.365039,0.156250
398,0.905209,0.406250,0.958733,0.109375
399,0.842610,0.335938,0.890163,0.296875
400,0.762711,0.406250,0.976030,0.125000
401,0.748680,0.445312,0.801986,0.328125
402,0.777539,0.414062,1.015435,0.171875
403,0.739113,0.460938,0.724958,0.515625
404,0.744832,0.468750,1.263282,0.015625
405,0.803593,0.468750,0.513135,0.921875
406,0.837412,0.484375,1.134708,0.031250
407,0.835486,0.429688,0.708867,0.546875
408,0.843343,0.398438,1.173674,0.156250
409,0.834609,0.359375,0.997612,0.109375
410,0.761123,0.445312,0.754670,0.500000
411,0.743329,0.421875,0.893287,0.234375
412,0.752198,0.460938,0.792782,0.515625
413,0.784312,0.398438,1.113829,0.015625
414,0.785823,0.453125,0.597104,0.750000
415,0.774130,0.445312,0.966882,0.125000
416,0.764270,0.421875,0.932763,0.187500
417,0.749619,0.453125,0.829605,0.250000
418,0.724407,0.460938,0.891280,0.203125
419,0.745534,0.429688,0.928589,0.234375
420,0.789556,0.328125,0.765177,0.390625
421,0.789966,0.429688,0.938431,0.187500
422,0.841922,0.367188,0.757645,0.468750
423,0.840816,0.382812,1.558373,0.000000
424,0.911214,0.375000,0.741598,0.484375
425,0.747789,0.445312,0.983565,0.265625
426,0.833998,0.421875,1.022824,0.171875
427,0.798818,0.414062,0.923324,0.187500
428,0.801507,0.343750,1.028029,0.156250
429,0.742065,0.460938,0.660253,0.625000
430,0.773962,0.429688,0.972414,0.109375
431,0.770887,0.429688,0.751849,0.437500
432,0.703430,0.562500,1.122407,0.078125
433,0.792336,0.414062,0.704823,0.515625
434,0.753609,0.476562,1.050774,0.156250
435,0.785781,0.484375,0.894256,0.234375
436,0.761752,0.421875,0.936346,0.109375
437,0.731028,0.437500,0.764330,0.375000
438,0.712382,0.484375,0.873594,0.171875
439,0.764197,0.359375,0.780905,0.390625
440,0.830834,0.351562,1.239466,0.078125
441,0.878413,0.359375,0.644460,0.640625
442,0.774573,0.476562,1.022156,0.109375
443,0.840907,0.320312,0.678865,0.578125
444,0.787035,0.421875,1.090949,0.031250
445,0.757378,0.484375,0.588481,0.796875
446,0.773362,0.468750,1.013041,0.109375
447,0.776373,0.476562,0.757263,0.312500
448,0.775868,0.390625,0.871810,0.250000
449,0.716271,0.460938,0.697894,0.562500
450,0.739347,0.476562,1.157179,0.062500
451,0.846116,0.335938,1.044776,0.187500
452,0.764794,0.429688,1.004841,0.156250
453,0.820208,0.320312,1.131578,0.093750
454,0.735305,0.523438,0.702083,0.562500
455,0.756086,0.453125,1.077694,0.109375
456,0.804335,0.429688,0.675618,0.578125
457,0.731932,0.507812,1.134151,0.046875
458,0.751359,0.445312,0.799058,0.359375
459,0.824925,0.328125,1.093954,0.062500
460,0.846734,0.335938,0.739119,0.437500
461,0.726694,0.484375,1.132996,0.031250
462,0.779930,0.398438,0.638801,0.625000
463,0.813500,0.445312,1.288770,0.031250
464,0.792934,0.445312,0.537210,0.875000
465,0.834401,0.437500,1.228294,0.140625
466,0.836157,0.421875,0.578926,0.765625
467,0.791153,0.421875,1.039170,0.109375
468,0.803922,0.296875,0.890961,0.281250
469,0.778957,0.390625,0.961629,0.125000
470,0.764582,0.398438,0.730958,0.437500
471,0.755464,0.375000,0.891452,0.140625
472,0.739292,0.437500,0.685868,0.531250
473,0.734174,0.515625,0.926013,0.140625
474,0.789248,0.421875,0.798045,0.375000
475,0.802253,0.429688,0.779101,0.265625
476,0.734135,0.421875,0.666274,0.609375
477,0.805587,0.429688,1.264346,0.000000
478,0.940570,0.304688,0.811343,0.375000
479,0.795931,0.468750,1.115346,0.109375
480,0.854152,0.398438,0.798643,0.343750
481,0.748129,0.492188,0.976143,0.125000
482,0.791627,0.414062,0.702154,0.468750
483,0.744048,0.453125,0.867300,0.203125
484,0.729220,0.476562,0.618132,0.640625
485,0.782146,0.460938,1.080954,0.109375
486,0.793129,0.421875,0.603928,0.640625
487,0.754427,0.500000,1.000230,0.093750
488,0.800032,0.351562,0.703580,0.515625
489,0.765047,0.460938,0.989031,0.140625
490,0.758658,0.437500,0.740758,0.421875
491,0.785910,0.398438,0.854456,0.312500
492,0.755279,0.382812,0.886557,0.250000
493,0.805226,0.359375,1.028518,0.109375
494,0.826414,0.328125,0.604122,0.687500
495,0.818877,0.468750,1.386641,0.000000
496,0.844884,0.476562,0.568940,0.875000
497,0.818683,0.414062,1.133311,0.078125
498,0.779139,0.437500,0.672482,0.515625
499,0.767689,0.429688,0.920730,0.187500
500,0.790078,0.359375,0.800905,0.343750
