Step,DiscLoss,DiscAcc,GANLoss,GANAcc
281,0.000001,0.500000,16.118095,0.000000
282,0.000001,0.500000,13.086974,0.000000
283,0.000001,0.500000,16.118095,0.000000
284,0.000001,0.500000,13.261740,0.000000
285,0.000001,0.500000,16.118095,0.000000
286,0.000001,0.500000,13.308417,0.000000
287,0.000001,0.500000,16.118095,0.000000
288,0.000001,0.500000,13.475670,0.000000
289,0.000001,0.500000,16.118095,0.000000
290,0.000001,0.500000,13.435532,0.000000
291,0.000001,0.500000,16.118095,0.000000
292,0.000001,0.500000,13.307302,0.000000
293,0.000001,0.500000,16.118095,0.000000
294,0.000001,0.500000,13.249535,0.000000
295,0.000001,0.500000,16.118095,0.000000
296,0.000001,0.500000,13.349605,0.000000
297,0.000001,0.500000,16.118095,0.000000
298,0.000001,0.500000,13.284955,0.000000
299,0.000001,0.500000,16.118095,0.000000
300,0.000001,0.500000,13.446080,0.000000
301,0.000001,0.500000,16.118095,0.000000
302,0.000001,0.500000,13.627416,0.000000
303,0.000001,0.500000,16.118095,0.000000
304,0.000001,0.500000,13.918256,0.000000
305,0.000001,0.500000,16.118095,0.000000
306,0.000001,0.500000,14.062365,0.000000
307,0.000001,0.500000,16.118095,0.000000
308,0.000001,0.500000,14.111528,0.000000
309,0.000001,0.500000,16.118095,0.000000
310,0.000001,0.500000,13.932492,0.000000
311,0.000001,0.500000,16.118095,0.000000
312,0.000001,0.500000,13.760427,0.000000
313,0.000001,0.500000,16.118095,0.000000
314,0.000001,0.500000,13.720715,0.000000
315,0.000001,0.500000,16.118095,0.000000
316,0.000001,0.500000,13.895167,0.000000
317,0.000001,0.500000,16.118095,0.000000
318,0.000001,0.500000,14.017887,0.000000
319,0.000001,0.500000,16.118095,0.000000
320,0.000001,0.500000,14.302432,0.000000
321,0.000001,0.500000,16.118095,0.000000
322,0.000001,0.500000,14.466340,0.000000
323,0.000001,0.500000,16.118095,0.000000
324,0.000001,0.500000,14.407828,0.000000
325,0.000001,0.500000,16.118095,0.000000
326,0.000001,0.500000,14.383958,0.000000
327,0.000001,0.500000,16.118095,0.000000
328,0.000001,0.500000,14.222609,0.000000
329,0.000001,0.500000,16.118095,0.000000
330,0.000001,0.500000,14.234497,0.000000
331,0.000001,0.500000,16.118095,0.000000
332,0.000001,0.500000,14.309108,0.000000
333,0.000001,0.500000,16.118095,0.000000
334,0.000001,0.500000,14.500473,0.000000
335,0.000001,0.500000,16.118095,0.000000
336,0.000001,0.500000,14.553651,0.000000
337,0.000001,0.500000,16.118095,0.000000
338,0.000001,0.500000,14.615733,0.000000
339,0.000001,0.500000,16.118095,0.000000
340,0.000001,0.500000,14.604625,0.000000
341,0.000001,0.500000,16.118095,0.000000
342,0.000001,0.500000,14.569493,0.000000
343,0.000001,0.500000,16.118095,0.000000
344,0.000001,0.500000,14.663864,0.000000
345,0.000001,0.500000,16.118095,0.000000
346,0.000001,0.500000,14.719007,0.000000
347,0.000001,0.500000,16.118095,0.000000
348,0.000001,0.500000,14.763569,0.000000
349,0.000001,0.500000,16.118095,0.000000
350,0.000001,0.500000,14.764987,0.000000
351,0.000001,0.500000,16.118095,0.000000
352,0.000001,0.500000,14.808520,0.000000
353,0.000001,0.500000,16.118095,0.000000
354,0.000001,0.500000,14.778566,0.000000
355,0.000001,0.500000,16.118095,0.000000
356,0.000001,0.500000,14.829820,0.000000
357,0.000001,0.500000,16.118095,0.000000
358,0.000001,0.500000,14.844042,0.000000
359,0.000001,0.500000,16.118095,0.000000
360,0.000001,0.500000,14.954843,0.000000
361,0.000001,0.500000,16.118095,0.000000
362,0.000001,0.500000,15.012710,0.000000
363,0.000001,0.500000,16.118095,0.000000
